Year,OSHPD ID,Facility Name,County Name,Type of Control,Disposition,Count
2009,370745,SHARP MESA VISTA HOSPITAL,SAN DIEGO,Non-Profit,Skilled Nursing/IC (Elsewhere),73
2009,370745,SHARP MESA VISTA HOSPITAL,SAN DIEGO,Non-Profit,Residential Care Facility,312
2009,370745,SHARP MESA VISTA HOSPITAL,SAN DIEGO,Non-Profit,Prison/Jail,9
2009,370745,SHARP MESA VISTA HOSPITAL,SAN DIEGO,Non-Profit,Against Medical Advice,214
2009,370745,SHARP MESA VISTA HOSPITAL,SAN DIEGO,Non-Profit,Home Health Service,1
2009,370745,SHARP MESA VISTA HOSPITAL,SAN DIEGO,Non-Profit,Other,16
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Routine (Home),1465
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Other Care (This Hospital),1
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Skilled Nursing/IC (This Hospital),1
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Acute Care (Another Hospital),65
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Other Care (Another Hospital),50
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Skilled Nursing/IC (Elsewhere),293
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Residential Care Facility,133
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Prison/Jail,205
2009,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Other,4
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Routine (Home),16298
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Acute Care (This Hospital),116
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Other Care (This Hospital),421
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Skilled Nursing/IC (This Hospital),391
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Acute Care (Another Hospital),424
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Other Care (Another Hospital),133
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Skilled Nursing/IC (Elsewhere),2013
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Residential Care Facility,354
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Prison/Jail,14
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Against Medical Advice,246
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Died,540
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Home Health Service,3500
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Other,14
2009,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Unknown,7
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Routine (Home),8386
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Acute Care (This Hospital),73
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Other Care (This Hospital),85
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Acute Care (Another Hospital),464
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Other Care (Another Hospital),84
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Skilled Nursing/IC (Elsewhere),1138
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Residential Care Facility,17
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Prison/Jail,9
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Against Medical Advice,333
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Died,175
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Home Health Service,847
2009,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Other,14
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Routine (Home),16387
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Other Care (This Hospital),1
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Acute Care (Another Hospital),596
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Other Care (Another Hospital),240
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Skilled Nursing/IC (Elsewhere),1377
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Residential Care Facility,27
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Prison/Jail,6
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Against Medical Advice,190
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Died,289
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Home Health Service,2002
2009,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Other,10
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Routine (Home),14178
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Acute Care (This Hospital),38
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Other Care (This Hospital),214
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Skilled Nursing/IC (This Hospital),9
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Acute Care (Another Hospital),329
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Other Care (Another Hospital),141
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Skilled Nursing/IC (Elsewhere),2038
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Residential Care Facility,425
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Prison/Jail,19
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Against Medical Advice,218
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Died,406
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Home Health Service,1813
2009,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Other,27
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Routine (Home),18770
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Acute Care (This Hospital),40
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Other Care (This Hospital),66
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Skilled Nursing/IC (This Hospital),7
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Acute Care (Another Hospital),291
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Other Care (Another Hospital),427
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Skilled Nursing/IC (Elsewhere),1461
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Residential Care Facility,242
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Prison/Jail,412
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Against Medical Advice,359
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Died,485
2009,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Home Health Service,2856
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Routine (Home),1094
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Acute Care (This Hospital),26
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Other Care (This Hospital),23
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Acute Care (Another Hospital),41
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Other Care (Another Hospital),10
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Skilled Nursing/IC (Elsewhere),393
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Residential Care Facility,82
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Prison/Jail,3
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Against Medical Advice,68
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Died,84
2009,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Home Health Service,53
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Routine (Home),13872
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Acute Care (This Hospital),141
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Other Care (This Hospital),4
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Skilled Nursing/IC (This Hospital),511
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Acute Care (Another Hospital),386
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Other Care (Another Hospital),83
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Skilled Nursing/IC (Elsewhere),956
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Residential Care Facility,128
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Prison/Jail,27
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Against Medical Advice,177
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Died,401
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Home Health Service,1631
2009,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Other,40
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Routine (Home),5583
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Acute Care (This Hospital),91
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Other Care (This Hospital),33
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Skilled Nursing/IC (This Hospital),349
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Acute Care (Another Hospital),223
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Other Care (Another Hospital),174
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Skilled Nursing/IC (Elsewhere),926
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Residential Care Facility,141
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Prison/Jail,1
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Against Medical Advice,41
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Died,267
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Home Health Service,466
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Other,3
2009,370977,POMERADO HOSPITAL,SAN DIEGO,District,Unknown,2
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Routine (Home),8082
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Acute Care (Another Hospital),33
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Other Care (Another Hospital),198
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Skilled Nursing/IC (Elsewhere),1377
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Residential Care Facility,10
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Against Medical Advice,19
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Died,149
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Home Health Service,2068
2009,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Other,1
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Routine (Home),7674
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Acute Care (This Hospital),63
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Other Care (This Hospital),209
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Acute Care (Another Hospital),315
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Other Care (Another Hospital),67
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Skilled Nursing/IC (Elsewhere),1349
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Residential Care Facility,63
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Against Medical Advice,61
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Died,178
2009,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Home Health Service,1715
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Routine (Home),2453
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Other Care (This Hospital),6
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Acute Care (Another Hospital),42
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Other Care (Another Hospital),17
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Skilled Nursing/IC (Elsewhere),66
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Residential Care Facility,77
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Prison/Jail,5
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Against Medical Advice,176
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Home Health Service,4
2009,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Other,15
2009,374049,SHARP VISTA PACIFICA,SAN DIEGO,Non-Profit,Routine (Home),187
2009,374049,SHARP VISTA PACIFICA,SAN DIEGO,Non-Profit,Other Care (Another Hospital),2
2009,374049,SHARP VISTA PACIFICA,SAN DIEGO,Non-Profit,Residential Care Facility,5
2009,374049,SHARP VISTA PACIFICA,SAN DIEGO,Non-Profit,Prison/Jail,1
2009,374049,SHARP VISTA PACIFICA,SAN DIEGO,Non-Profit,Against Medical Advice,16
2009,374049,SHARP VISTA PACIFICA,SAN DIEGO,Non-Profit,Other,2
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Routine (Home),1152
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Other Care (This Hospital),1
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Acute Care (Another Hospital),64
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Other Care (Another Hospital),28
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Skilled Nursing/IC (Elsewhere),18
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Residential Care Facility,228
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Prison/Jail,10
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Against Medical Advice,169
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Died,16
2009,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Other,30
2009,374084,SAN DIEGO HOSPICE AND PALLIATIVE CARE-ACUTE CARE CTR,SAN DIEGO,Non-Profit,Routine (Home),305
2009,374084,SAN DIEGO HOSPICE AND PALLIATIVE CARE-ACUTE CARE CTR,SAN DIEGO,Non-Profit,Died,609
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Routine (Home),64
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Other Care (This Hospital),1
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Acute Care (Another Hospital),143
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Other Care (Another Hospital),42
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Skilled Nursing/IC (Elsewhere),274
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Prison/Jail,5
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Against Medical Advice,6
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Died,45
2009,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Home Health Service,198
2009,380842,JEWISH HOME,SAN FRANCISCO,Non-Profit,Routine (Home),154
2009,380842,JEWISH HOME,SAN FRANCISCO,Non-Profit,Acute Care (Another Hospital),282
2009,380842,JEWISH HOME,SAN FRANCISCO,Non-Profit,Skilled Nursing/IC (Elsewhere),1
2009,380842,JEWISH HOME,SAN FRANCISCO,Non-Profit,Residential Care Facility,2
2009,380842,JEWISH HOME,SAN FRANCISCO,Non-Profit,Against Medical Advice,1
2009,380842,JEWISH HOME,SAN FRANCISCO,Non-Profit,Died,104
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Routine (Home),12636
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Acute Care (This Hospital),5
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Other Care (This Hospital),9
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Acute Care (Another Hospital),231
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Other Care (Another Hospital),79
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Skilled Nursing/IC (Elsewhere),848
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Residential Care Facility,85
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Against Medical Advice,78
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Died,208
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Home Health Service,1144
2009,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Other,8
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Routine (Home),107
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Acute Care (This Hospital),96
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Skilled Nursing/IC (This Hospital),85
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Acute Care (Another Hospital),306
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Skilled Nursing/IC (Elsewhere),12
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Residential Care Facility,32
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Against Medical Advice,24
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Died,177
2009,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Other,22
2009,380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,UC,Routine (Home),595
2009,380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,UC,Acute Care (Another Hospital),19
2009,380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,UC,Residential Care Facility,51
2009,380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,UC,Prison/Jail,1
2009,380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,UC,Against Medical Advice,21
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Routine (Home),24194
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Acute Care (This Hospital),387
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Other Care (This Hospital),337
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Skilled Nursing/IC (This Hospital),1618
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Acute Care (Another Hospital),346
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Other Care (Another Hospital),95
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Skilled Nursing/IC (Elsewhere),926
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Residential Care Facility,306
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Prison/Jail,3
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Against Medical Advice,164
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Died,681
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Home Health Service,3992
2009,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Other,327
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Routine (Home),12139
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Acute Care (This Hospital),135
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Other Care (This Hospital),148
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Skilled Nursing/IC (This Hospital),371
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Acute Care (Another Hospital),597
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Other Care (Another Hospital),106
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Skilled Nursing/IC (Elsewhere),702
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Residential Care Facility,468
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Prison/Jail,287
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Against Medical Advice,407
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Died,294
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Home Health Service,371
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Other,41
2009,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Unknown,1
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Routine (Home),3531
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Acute Care (This Hospital),66
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Other Care (This Hospital),248
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Acute Care (Another Hospital),93
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Other Care (Another Hospital),38
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Skilled Nursing/IC (Elsewhere),667
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Residential Care Facility,94
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Against Medical Advice,221
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Died,211
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Home Health Service,812
2009,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Other,8
2009,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Routine (Home),3974
2009,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Acute Care (This Hospital),83
2009,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Skilled Nursing/IC (This Hospital),356
2009,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Acute Care (Another Hospital),172
2009,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Other Care (Another Hospital),14
2009,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Skilled Nursing/IC (Elsewhere),167
2009,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Residential Care Facility,81
2009,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Against Medical Advice,83
