Year,OSHPD Facility Number,Facility Name,County Name,Type Of Control,Type Of Care,Count
2010,361339,ST. BERNARDINE MEDICAL CENTER,SAN BERNARDINO,Non-Profit,Acute,19250
2010,361343,ST. MARY REGIONAL MEDICAL CENTER,SAN BERNARDINO,Non-Profit,Acute,18377
2010,361370,VICTOR VALLEY COMMUNITY HOSPITAL,SAN BERNARDINO,City/County,Acute,7805
2010,361458,COLORADO RIVER MEDICAL CENTER,SAN BERNARDINO,City/County,Acute,492
2010,362041,HI-DESERT MEDICAL CENTER,SAN BERNARDINO,District,Acute,3840
2010,362041,HI-DESERT MEDICAL CENTER,SAN BERNARDINO,District,Skilled Nursing/Intermediate Care,526
2010,364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,SAN BERNARDINO,Non-Profit,Psychiatric,3726
2010,364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,SAN BERNARDINO,Non-Profit,Chemical Dependency,565
2010,364050,CANYON RIDGE HOSPITAL,SAN BERNARDINO,Investor,Psychiatric,4429
2010,364121,BALLARD REHABILITATION HOSP,SAN BERNARDINO,Investor,Physical Rehabilitation,1085
2010,364144,DESERT VALLEY HOSPITAL,SAN BERNARDINO,Investor,Acute,7560
2010,364188,KINDRED HOSPITAL RANCHO,SAN BERNARDINO,Investor,Acute,822
2010,364188,KINDRED HOSPITAL RANCHO,SAN BERNARDINO,Investor,Unknown,2
2010,364231,ARROWHEAD REGIONAL MEDICAL CENTER,SAN BERNARDINO,City/County,Acute,23435
2010,364231,ARROWHEAD REGIONAL MEDICAL CENTER,SAN BERNARDINO,City/County,Psychiatric,3690
2010,370652,ALVARADO HOSPITAL,SAN DIEGO,Investor,Acute,9013
2010,370652,ALVARADO HOSPITAL,SAN DIEGO,Investor,Physical Rehabilitation,308
2010,370673,RADY CHILDREN'S HOSPITAL - SAN DIEGO,SAN DIEGO,Non-Profit,Acute,13549
2010,370673,RADY CHILDREN'S HOSPITAL - SAN DIEGO,SAN DIEGO,Non-Profit,Skilled Nursing/Intermediate Care,135
2010,370673,RADY CHILDREN'S HOSPITAL - SAN DIEGO,SAN DIEGO,Non-Profit,Physical Rehabilitation,49
2010,370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,SAN DIEGO,Non-Profit,Acute,2971
2010,370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,SAN DIEGO,Non-Profit,Skilled Nursing/Intermediate Care,320
2010,370694,SHARP MEMORIAL HOSPITAL,SAN DIEGO,Non-Profit,Acute,37077
2010,370694,SHARP MEMORIAL HOSPITAL,SAN DIEGO,Non-Profit,Physical Rehabilitation,417
2010,370705,FALLBROOK HOSPITAL DISTRICT,SAN DIEGO,Investor,Acute,2982
2010,370705,FALLBROOK HOSPITAL DISTRICT,SAN DIEGO,Investor,Skilled Nursing/Intermediate Care,383
2010,370714,GROSSMONT HOSPITAL,SAN DIEGO,Non-Profit,Acute,29986
2010,370714,GROSSMONT HOSPITAL,SAN DIEGO,Non-Profit,Skilled Nursing/Intermediate Care,119
2010,370714,GROSSMONT HOSPITAL,SAN DIEGO,Non-Profit,Psychiatric,1319
2010,370714,GROSSMONT HOSPITAL,SAN DIEGO,Non-Profit,Physical Rehabilitation,368
2010,370721,KINDRED HOSPITAL - SAN DIEGO,SAN DIEGO,Investor,Acute,626
2010,370730,KAISER FND HOSP - SAN DIEGO,SAN DIEGO,Non-Profit,Acute,32042
2010,370744,SCRIPPS MERCY HOSPITAL,SAN DIEGO,Non-Profit,Acute,34400
2010,370744,SCRIPPS MERCY HOSPITAL,SAN DIEGO,Non-Profit,Psychiatric,1981
2010,370745,SHARP MESA VISTA HOSPITAL,SAN DIEGO,Non-Profit,Psychiatric,5435
2010,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Psychiatric,2024
2010,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,SAN DIEGO,Investor,Chemical Dependency,249
2010,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Acute,22283
2010,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Skilled Nursing/Intermediate Care,442
2010,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Psychiatric,1202
2010,370755,PALOMAR MEDICAL CENTER,SAN DIEGO,District,Physical Rehabilitation,442
2010,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Acute,7313
2010,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Psychiatric,3464
2010,370759,PARADISE VALLEY HOSPITAL,SAN DIEGO,Investor,Physical Rehabilitation,191
2010,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Acute,20298
2010,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,SAN DIEGO,Non-Profit,Chemical Dependency,612
2010,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Acute,18110
2010,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Psychiatric,875
2010,370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Physical Rehabilitation,184
2010,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Acute,25159
2010,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,SAN DIEGO,UC,Psychiatric,1498
2010,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Acute,594
2010,370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Psychiatric,1283
2010,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Acute,17782
2010,370875,SHARP CHULA VISTA MEDICAL CENTER,SAN DIEGO,Non-Profit,Skilled Nursing/Intermediate Care,595
2010,370977,POMERADO HOSPITAL,SAN DIEGO,District,Acute,7401
2010,370977,POMERADO HOSPITAL,SAN DIEGO,District,Skilled Nursing/Intermediate Care,614
2010,370977,POMERADO HOSPITAL,SAN DIEGO,District,Psychiatric,256
2010,371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Acute,12006
2010,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Acute,11023
2010,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,SAN DIEGO,Non-Profit,Physical Rehabilitation,627
2010,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Psychiatric,2450
2010,374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Chemical Dependency,464
2010,374049,SHARP VISTA PACIFICA,SAN DIEGO,Non-Profit,Chemical Dependency,213
2010,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Skilled Nursing/Intermediate Care,73
2010,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,Psychiatric,2041
2010,374084,SAN DIEGO HOSPICE AND PALLIATIVE CARE-ACUTE CARE CTR,SAN DIEGO,Non-Profit,Acute,873
2010,374094,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Acute,828
2010,380842,JEWISH HOME,SAN FRANCISCO,Non-Profit,Skilled Nursing/Intermediate Care,596
2010,380842,JEWISH HOME,SAN FRANCISCO,Non-Profit,Psychiatric,62
2010,380857,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,Non-Profit,Acute,15714
2010,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Acute,156
2010,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Skilled Nursing/Intermediate Care,847
2010,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,SAN FRANCISCO,City/County,Physical Rehabilitation,42
2010,380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,UC,Psychiatric,747
2010,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Acute,29486
2010,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Skilled Nursing/Intermediate Care,1701
2010,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Psychiatric,581
2010,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,Non-Profit,Physical Rehabilitation,540
2010,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Acute,13814
2010,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Skilled Nursing/Intermediate Care,437
2010,380939,SAN FRANCISCO GENERAL HOSPITAL,SAN FRANCISCO,City/County,Psychiatric,2109
2010,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Acute,4682
2010,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Psychiatric,1444
2010,380960,ST. FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,Non-Profit,Physical Rehabilitation,441
2010,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Acute,4701
2010,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,SAN FRANCISCO,Non-Profit,Skilled Nursing/Intermediate Care,406
2010,380965,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",SAN FRANCISCO,Non-Profit,Acute,5062
2010,380965,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",SAN FRANCISCO,Non-Profit,Skilled Nursing/Intermediate Care,762
2010,380965,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",SAN FRANCISCO,Non-Profit,Psychiatric,628
2010,380965,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",SAN FRANCISCO,Non-Profit,Physical Rehabilitation,414
2010,381154,UCSF MEDICAL CENTER,SAN FRANCISCO,UC,Acute,30084
2010,382715,CHINESE HOSPITAL,SAN FRANCISCO,Non-Profit,Acute,1936
2010,390846,DAMERON HOSPITAL,SAN JOAQUIN,Non-Profit,Acute,11109
2010,390923,LODI MEMORIAL HOSPITAL,SAN JOAQUIN,Non-Profit,Acute,8899
2010,390923,LODI MEMORIAL HOSPITAL,SAN JOAQUIN,Non-Profit,Skilled Nursing/Intermediate Care,50
2010,390923,LODI MEMORIAL HOSPITAL,SAN JOAQUIN,Non-Profit,Physical Rehabilitation,142
2010,391010,SAN JOAQUIN GENERAL HOSPITAL,SAN JOAQUIN,City/County,Acute,10732
2010,391042,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,SAN JOAQUIN,Non-Profit,Acute,18672
2010,391042,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,SAN JOAQUIN,Non-Profit,Skilled Nursing/Intermediate Care,545
2010,391056,SUTTER TRACY COMMUNITY HOSPITAL,SAN JOAQUIN,Non-Profit,Acute,4654
2010,392232,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,SAN JOAQUIN,Non-Profit,Psychiatric,1488
2010,392287,DOCTORS HOSPITAL OF MANTECA,SAN JOAQUIN,Investor,Acute,4280
2010,394003,SAN JOAQUIN COUNTY P.H.F.,SAN JOAQUIN,City/County,Psychiatric,1402
2010,394009,KAISER FND HOSP-MANTECA,SAN JOAQUIN,Non-Profit,Acute,11819
2010,394009,KAISER FND HOSP-MANTECA,SAN JOAQUIN,Non-Profit,Skilled Nursing/Intermediate Care,80
2010,400466,ARROYO GRANDE COMMUNITY HOSPITAL,SAN LUIS OBISPO,Non-Profit,Acute,2687
2010,400466,ARROYO GRANDE COMMUNITY HOSPITAL,SAN LUIS OBISPO,Non-Profit,Skilled Nursing/Intermediate Care,178
2010,400480,FRENCH HOSPITAL MEDICAL CENTER,SAN LUIS OBISPO,Non-Profit,Acute,5324
2010,400524,SIERRA VISTA REGIONAL MEDICAL CENTER,SAN LUIS OBISPO,Investor,Acute,7125
2010,400548,TWIN CITIES COMMUNITY HOSPITAL,SAN LUIS OBISPO,Investor,Acute,6718
2010,404046,SAN LUIS OBISPO CO PSYCHIATRIC HEALTH FACILITY,SAN LUIS OBISPO,City/County,Psychiatric,1319
2010,410782,SAN MATEO MEDICAL CENTER,SAN MATEO,City/County,Acute,2801
2010,410782,SAN MATEO MEDICAL CENTER,SAN MATEO,City/County,Skilled Nursing/Intermediate Care,415
2010,410782,SAN MATEO MEDICAL CENTER,SAN MATEO,City/County,Psychiatric,773
2010,410804,KAISER FND HOSP - REDWOOD CITY,SAN MATEO,Non-Profit,Acute,8736
2010,410806,KAISER FND HOSP - SOUTH SAN FRANCISCO,SAN MATEO,Non-Profit,Acute,5900
2010,410817,SETON MEDICAL CENTER,SAN MATEO,Non-Profit,Acute,8451
2010,410817,SETON MEDICAL CENTER,SAN MATEO,Non-Profit,Skilled Nursing/Intermediate Care,576
2010,410828,SETON MEDICAL CENTER - COASTSIDE,SAN MATEO,Non-Profit,Skilled Nursing/Intermediate Care,63
2010,410852,MILLS-PENINSULA MEDICAL CENTER,SAN MATEO,Non-Profit,Acute,13689
2010,410852,MILLS-PENINSULA MEDICAL CENTER,SAN MATEO,Non-Profit,Skilled Nursing/Intermediate Care,511
2010,410852,MILLS-PENINSULA MEDICAL CENTER,SAN MATEO,Non-Profit,Psychiatric,793
2010,410852,MILLS-PENINSULA MEDICAL CENTER,SAN MATEO,Non-Profit,Chemical Dependency,379
2010,410852,MILLS-PENINSULA MEDICAL CENTER,SAN MATEO,Non-Profit,Physical Rehabilitation,105
2010,410891,SEQUOIA HOSPITAL,SAN MATEO,Non-Profit,Acute,8225
2010,410891,SEQUOIA HOSPITAL,SAN MATEO,Non-Profit,Psychiatric,925
2010,414018,MENLO PARK SURGICAL HOSPITAL,SAN MATEO,Non-Profit,Acute,413
2010,420483,GOLETA VALLEY COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Acute,1615
2010,420483,GOLETA VALLEY COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Skilled Nursing/Intermediate Care,21
2010,420491,LOMPOC VALLEY MEDICAL CENTER,SANTA BARBARA,District,Acute,2714
2010,420491,LOMPOC VALLEY MEDICAL CENTER,SANTA BARBARA,District,Skilled Nursing/Intermediate Care,216
2010,420493,MARIAN MEDICAL CENTER,SANTA BARBARA,Non-Profit,Acute,12469
2010,420493,MARIAN MEDICAL CENTER,SANTA BARBARA,Non-Profit,Skilled Nursing/Intermediate Care,456
2010,420514,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Acute,19187
2010,420514,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Psychiatric,1095
2010,420514,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Chemical Dependency,1
2010,420514,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Physical Rehabilitation,583
2010,420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Acute,316
2010,420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,SANTA BARBARA,Non-Profit,Skilled Nursing/Intermediate Care,1
2010,424002,SANTA BARBARA PSYCHIATRIC HEALTH FACILITY,SANTA BARBARA,City/County,Psychiatric,513
2010,430705,REGIONAL MEDICAL OF SAN JOSE,SANTA CLARA,Investor,Acute,10345
2010,430763,EL CAMINO HOSPITAL,SANTA CLARA,District,Acute,22479
2010,430763,EL CAMINO HOSPITAL,SANTA CLARA,District,Psychiatric,987
2010,430763,EL CAMINO HOSPITAL,SANTA CLARA,District,Physical Rehabilitation,123
2010,430779,GOOD SAMARITAN HOSPITAL-SAN JOSE,SANTA CLARA,Investor,Acute,18546
2010,430779,GOOD SAMARITAN HOSPITAL-SAN JOSE,SANTA CLARA,Investor,Skilled Nursing/Intermediate Care,5
2010,430779,GOOD SAMARITAN HOSPITAL-SAN JOSE,SANTA CLARA,Investor,Psychiatric,690
2010,430779,GOOD SAMARITAN HOSPITAL-SAN JOSE,SANTA CLARA,Investor,Physical Rehabilitation,321
2010,430837,O'CONNOR HOSPITAL - SAN JOSE,SANTA CLARA,Non-Profit,Acute,15699
2010,430837,O'CONNOR HOSPITAL - SAN JOSE,SANTA CLARA,Non-Profit,Skilled Nursing/Intermediate Care,505
2010,430883,SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA,City/County,Acute,25712
2010,430883,SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA,City/County,Psychiatric,952
2010,430883,SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA,City/County,Physical Rehabilitation,545
2010,430905,STANFORD HOSPITAL,SANTA CLARA,Non-Profit,Acute,23475
2010,430905,STANFORD HOSPITAL,SANTA CLARA,Non-Profit,Psychiatric,867
2010,431506,KAISER FND HOSP - SAN JOSE,SANTA CLARA,Non-Profit,Acute,13725
2010,434040,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,SANTA CLARA,Non-Profit,Acute,16422
2010,434051,CHILDRENS RECOVERY CENTER OF NORTHERN CALIFORNIA,SANTA CLARA,Investor,Skilled Nursing/Intermediate Care,19
2010,434138,ST. LOUISE REGIONAL HOSPITAL,SANTA CLARA,Non-Profit,Acute,4196
2010,434153,KAISER FND HOSP - SANTA CLARA,SANTA CLARA,Non-Profit,Acute,25657
2010,434218,KAISER PERMANENTE P.H.F - SANTA CLARA,SANTA CLARA,Non-Profit,Psychiatric,113
2010,440755,DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL,SANTA CRUZ,Non-Profit,Acute,11245
2010,440755,DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL,SANTA CRUZ,Non-Profit,Skilled Nursing/Intermediate Care,766
2010,500967,OAK VALLEY DISTRICT HOSPITAL (2-RH),STANISLAUS,District,Acute,1604
2010,440755,DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL,SANTA CRUZ,Non-Profit,Psychiatric,949
2010,440755,DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL,SANTA CRUZ,Non-Profit,Physical Rehabilitation,409
2010,444012,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ,SANTA CRUZ,Non-Profit,Acute,2600
2010,444012,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ,SANTA CRUZ,Non-Profit,Unknown,1
2010,444013,WATSONVILLE COMMUNITY HOSPITAL,SANTA CRUZ,Investor,Acute,6697
2010,450936,MAYERS MEMORIAL HOSPITAL,SHASTA,District,Acute,476
2010,450936,MAYERS MEMORIAL HOSPITAL,SHASTA,District,Skilled Nursing/Intermediate Care,88
2010,450940,SHASTA REGIONAL MEDICAL CENTER,SHASTA,Investor,Acute,8017
2010,450949,MERCY MEDICAL CENTER - REDDING,SHASTA,Non-Profit,Acute,16336
2010,454012,NORTHERN CALIFORNIA REHABILITATION HOSPITAL,SHASTA,Investor,Acute,623
2010,454012,NORTHERN CALIFORNIA REHABILITATION HOSPITAL,SHASTA,Investor,Skilled Nursing/Intermediate Care,621
2010,454013,PATIENTS' HOSPITAL OF REDDING,SHASTA,Investor,Acute,300
2010,470871,MERCY MEDICAL CENTER MT. SHASTA,SISKIYOU,Non-Profit,Acute,1346
2010,470871,MERCY MEDICAL CENTER MT. SHASTA,SISKIYOU,Non-Profit,Skilled Nursing/Intermediate Care,84
2010,474007,FAIRCHILD MEDICAL CENTER,SISKIYOU,Non-Profit,Acute,1814
2010,480989,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,SOLANO,Non-Profit,Acute,12824
2010,480989,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,SOLANO,Non-Profit,Physical Rehabilitation,853
2010,481015,ST. HELENA HOSPITAL CENTER FOR BEHAVIORAL HEALTH,SOLANO,Non-Profit,Psychiatric,2128
2010,481094,SUTTER SOLANO MEDICAL CENTER,SOLANO,Non-Profit,Acute,5891
2010,481357,NORTH BAY MEDICAL CENTER,SOLANO,Non-Profit,Acute,6829
2010,484001,NORTH BAY VACAVALLEY HOSPITAL,SOLANO,Non-Profit,Acute,2692
2010,484028,NORTH VALLEY-SOLANO COUNTY PSYCHIATRIC HEALTH FACILITY,SOLANO,Investor,Psychiatric,559
2010,484044,KAISER FOUNDATION HOSPITAL - VACAVILLE,SOLANO,Non-Profit,Acute,3523
2010,490919,SUTTER MEDICAL CENTER OF SANTA ROSA,SONOMA,Non-Profit,Acute,7514
2010,490964,HEALDSBURG DISTRICT HOSPITAL,SONOMA,District,Acute,777
2010,490964,HEALDSBURG DISTRICT HOSPITAL,SONOMA,District,Skilled Nursing/Intermediate Care,118
2010,491001,PETALUMA VALLEY HOSPITAL,SONOMA,Non-Profit,Acute,3444
2010,491064,SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY,SONOMA,Non-Profit,Acute,12698
2010,491064,SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY,SONOMA,Non-Profit,Physical Rehabilitation,224
2010,491076,SONOMA VALLEY HOSPITAL,SONOMA,District,Acute,1762
2010,491076,SONOMA VALLEY HOSPITAL,SONOMA,District,Skilled Nursing/Intermediate Care,459
2010,491338,PALM DRIVE HOSPITAL,SONOMA,District,Acute,1217
2010,494019,KAISER FND HOSP - SANTA ROSA,SONOMA,Non-Profit,Acute,10644
2010,500852,DOCTORS MEDICAL CENTER,STANISLAUS,Investor,Acute,20158
2010,500852,DOCTORS MEDICAL CENTER,STANISLAUS,Investor,Psychiatric,3701
2010,500852,DOCTORS MEDICAL CENTER,STANISLAUS,Investor,Chemical Dependency,30
2010,500867,"EMANUEL MEDICAL CENTER, INC",STANISLAUS,Non-Profit,Acute,11546
2010,500867,"EMANUEL MEDICAL CENTER, INC",STANISLAUS,Non-Profit,Skilled Nursing/Intermediate Care,649
2010,500939,MEMORIAL HOSPITAL MEDICAL CENTER - MODESTO,STANISLAUS,Non-Profit,Acute,23025
2010,500954,KINDRED HOSPITAL MODESTO,STANISLAUS,Investor,Skilled Nursing/Intermediate Care,1
2010,500967,OAK VALLEY DISTRICT HOSPITAL (2-RH),STANISLAUS,District,Skilled Nursing/Intermediate Care,277
2010,504038,STANISLAUS SURGICAL HOSPITAL,STANISLAUS,Investor,Acute,960
2010,514001,SUTTER-YUBA PSYCHIATRIC HEALTH FACILITY,SUTTER,City/County,Psychiatric,354
2010,514030,SUTTER SURGICAL HOSPITAL-NORTH VALLEY,SUTTER,Investor,Acute,679
2010,514033,NORTH VALLEY BEHAVIORAL HEALTH,SUTTER,Investor,Psychiatric,525
2010,521041,ST. ELIZABETH COMMUNITY HOSPITAL,TEHAMA,Non-Profit,Acute,4003
2010,521041,ST. ELIZABETH COMMUNITY HOSPITAL,TEHAMA,Non-Profit,Skilled Nursing/Intermediate Care,8
2010,531059,TRINITY HOSPITAL,TRINITY,District,Acute,455
2010,531059,TRINITY HOSPITAL,TRINITY,District,Skilled Nursing/Intermediate Care,36
2010,540734,KAWEAH DELTA MEDICAL CENTER,TULARE,District,Acute,25489
2010,540734,KAWEAH DELTA MEDICAL CENTER,TULARE,District,Skilled Nursing/Intermediate Care,372
2010,540734,KAWEAH DELTA MEDICAL CENTER,TULARE,District,Psychiatric,1519
2010,540734,KAWEAH DELTA MEDICAL CENTER,TULARE,District,Physical Rehabilitation,489
2010,540798,SIERRA VIEW DISTRICT HOSPITAL,TULARE,District,Acute,9555
2010,540798,SIERRA VIEW DISTRICT HOSPITAL,TULARE,District,Skilled Nursing/Intermediate Care,31
2010,540816,TULARE REGIONAL MEDICAL CENTER,TULARE,District,Acute,6808
2010,551061,TUOLUMNE GENERAL MEDICAL FACILITY,TUOLUMNE,City/County,Skilled Nursing/Intermediate Care,11
2010,554011,SONORA REGIONAL MEDICAL CENTER - GREENLEY,TUOLUMNE,Non-Profit,Acute,5190
2010,554011,SONORA REGIONAL MEDICAL CENTER - GREENLEY,TUOLUMNE,Non-Profit,Skilled Nursing/Intermediate Care,319
2010,560203,AURORA VISTA DEL MAR HOSPITAL,VENTURA,Investor,Psychiatric,3276
2010,560473,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA,VENTURA,Non-Profit,Acute,15477
2010,560481,VENTURA COUNTY MEDICAL CENTER,VENTURA,City/County,Acute,13317
2010,560481,VENTURA COUNTY MEDICAL CENTER,VENTURA,City/County,Psychiatric,2632
2010,560492,LOS ROBLES HOSPITAL & MEDICAL CENTER,VENTURA,Investor,Acute,14882
2010,560492,LOS ROBLES HOSPITAL & MEDICAL CENTER,VENTURA,Investor,Skilled Nursing/Intermediate Care,698
2010,560492,LOS ROBLES HOSPITAL & MEDICAL CENTER,VENTURA,Investor,Physical Rehabilitation,145
2010,560501,OJAI VALLEY COMMUNITY HOSPITAL,VENTURA,Non-Profit,Acute,833
2010,560501,OJAI VALLEY COMMUNITY HOSPITAL,VENTURA,Non-Profit,Skilled Nursing/Intermediate Care,273
2010,560508,ST. JOHN'S PLEASANT VALLEY HOSPITAL,VENTURA,Non-Profit,Acute,3662
2010,560508,ST. JOHN'S PLEASANT VALLEY HOSPITAL,VENTURA,Non-Profit,Skilled Nursing/Intermediate Care,37
2010,560525,SIMI VALLEY HOSPITAL AND HEALTH CARE SVCS-SYCAMORE,VENTURA,Non-Profit,Acute,6383
2010,560525,SIMI VALLEY HOSPITAL AND HEALTH CARE SVCS-SYCAMORE,VENTURA,Non-Profit,Skilled Nursing/Intermediate Care,385
2010,560529,ST. JOHN'S REGIONAL MEDICAL CENTER,VENTURA,Non-Profit,Acute,13842
2010,560529,ST. JOHN'S REGIONAL MEDICAL CENTER,VENTURA,Non-Profit,Physical Rehabilitation,338
2010,560838,PACIFIC SHORES HOSPITAL,VENTURA,Investor,Psychiatric,170
2010,564121,THOUSAND OAKS SURGICAL HOSPITAL,VENTURA,Investor,Acute,1223
2010,571086,WOODLAND MEMORIAL HOSPITAL,YOLO,Non-Profit,Acute,4089
2010,571086,WOODLAND MEMORIAL HOSPITAL,YOLO,Non-Profit,Psychiatric,964
2010,574010,SUTTER DAVIS HOSPITAL,YOLO,Non-Profit,Acute,4729
2010,580996,RIDEOUT MEMORIAL HOSPITAL,YUBA,Non-Profit,Acute,14089
2011,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Acute,2644
2011,010735,ALAMEDA HOSPITAL,ALAMEDA,District,Skilled Nursing/Intermediate Care,133
2011,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Non-Profit,Acute,23876
2011,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Acute,10139
2011,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Physical Rehabilitation,116
2011,010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Chemical Dependency,131
2011,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Acute,10061
2011,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Psychiatric,444
2011,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Skilled Nursing/Intermediate Care,3
2011,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Psychiatric,2706
2011,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Physical Rehabilitation,745
2011,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Acute,11595
