Year,OSHPD Facility Number,Facility Name,Type Of Control,County Name,Discharge Days,Count
2010,190696,PACIFICA HOSPITAL OF THE VALLEY,Investor,LOS ANGELES,Discharge Days,51315
2010,190708,SHERMAN OAKS HOSPITAL,Investor,LOS ANGELES,Discharge Days,17663
2010,190712,SHRINERS HOSPITAL FOR  CHILDREN - L.A.,Non-Profit,LOS ANGELES,Discharge Days,4981
2010,190754,ST. FRANCIS MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,114415
2010,190756,ST. JOHN'S HEALTH CENTER,Non-Profit,LOS ANGELES,Discharge Days,58477
2010,190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,95212
2010,190762,ST. VINCENT MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,54995
2010,190766,COAST PLAZA DOCTORS HOSPITAL,Investor,LOS ANGELES,Discharge Days,14359
2010,190782,TARZANA TREATMENT CENTER,Non-Profit,LOS ANGELES,Discharge Days,16482
2010,190784,TEMPLE COMMUNITY HOSPITAL,Investor,LOS ANGELES,Discharge Days,20325
2010,190796,RONALD REAGAN UCLA MEDICAL CENTER,UC,LOS ANGELES,Discharge Days,162372
2010,190812,VALLEY PRESBYTERIAN HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,84740
2010,190814,HOLLYWOOD COMMUNITY HOSPITAL OF VAN NUYS,Investor,LOS ANGELES,Discharge Days,17654
2010,190818,VERDUGO HILLS HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,33682
2010,190854,LOS ANGELES METROPOLITAN MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,31668
2010,190857,"DOCTORS HOSPITAL OF WEST COVINA, INC",Investor,LOS ANGELES,Discharge Days,7643
2010,190859,WEST HILLS HOSPITAL AND MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,41195
2010,190878,WHITE MEMORIAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,103782
2010,190883,WHITTIER HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,38788
2010,190930,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,UC,LOS ANGELES,Discharge Days,23934
2010,190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,59468
2010,191216,"USC KENNETH NORRIS, JR. CANCER HOSPITAL",Non-Profit,LOS ANGELES,Discharge Days,1939
2010,191225,TOM REDGATE MEMORIAL RECOVERY CENTER,Non-Profit,LOS ANGELES,Discharge Days,15003
2010,191227,LAC/HARBOR-UCLA MEDICAL CENTER,City/County,LOS ANGELES,Discharge Days,120011
2010,191228,LAC+USC MEDICAL CENTER,City/County,LOS ANGELES,Discharge Days,211753
2010,191231,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,City/County,LOS ANGELES,Discharge Days,69510
2010,191306,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,City/County,LOS ANGELES,Discharge Days,67974
2010,191450,KAISER FND HOSP - WOODLAND HILLS,Non-Profit,LOS ANGELES,Discharge Days,53532
2010,194010,AMERICAN RECOVERY CENTER,Non-Profit,LOS ANGELES,Discharge Days,8733
2010,194219,USC UNIVERSITY HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,72506
2010,194967,STAR VIEW ADOLESCENT - P H F,Investor,LOS ANGELES,Discharge Days,4253
2010,194981,LA CASA PSYCHIATRIC HEALTH FACILITY,Investor,LOS ANGELES,Discharge Days,5703
2010,196035,KAISER FND HOSP - BALDWIN PARK,Non-Profit,LOS ANGELES,Discharge Days,52157
2010,196168,EARL AND LORRAINE MILLER CHILDRENS HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,99194
2010,196403,KAISER FOUNDATION HOSPITAL - DOWNEY,Non-Profit,LOS ANGELES,Discharge Days,84797
2010,196404,JOYCE EISENBERG KEEFER MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,65678
2010,201281,MADERA COMMUNITY HOSPITAL,Non-Profit,MADERA,Discharge Days,27251
2010,204019,CHILDREN'S HOSPITAL CENTRAL CALIFORNIA,Non-Profit,MADERA,Discharge Days,78159
2010,210992,KAISER FND HOSP - SAN RAFAEL,Non-Profit,MARIN,Discharge Days,22603
2010,210993,KENTFIELD REHABILITATION HOSPITAL,Investor,MARIN,Discharge Days,18052
2010,211006,MARIN GENERAL HOSPITAL,Non-Profit,MARIN,Discharge Days,46506
2010,214034,NOVATO COMMUNITY HOSPITAL,Non-Profit,MARIN,Discharge Days,6173
2010,220733,JOHN C FREMONT HEALTHCARE DISTRICT,District,MARIPOSA,Discharge Days,9669
2010,230949,FRANK R HOWARD MEMORIAL HOSPITAL,Non-Profit,MENDOCINO,Discharge Days,5524
2010,231013,MENDOCINO COAST DISTRICT HOSPITAL,District,MENDOCINO,Discharge Days,6407
2010,231396,UKIAH VALLEY MEDICAL CENTER/HOSPITAL DRIVE,Non-Profit,MENDOCINO,Discharge Days,12983
2010,240924,MEMORIAL HOSPITAL LOS BANOS,Non-Profit,MERCED,Discharge Days,6208
2010,240942,MERCY MEDICAL CENTER - MERCED,Non-Profit,MERCED,Discharge Days,54416
2010,244027,MARIE GREEN PSYCHIATRIC CENTER - P H F,City/County,MERCED,Discharge Days,2668
2010,250955,SURPRISE VALLEY COMMUNITY HOSPITAL,District,MODOC,Discharge Days,7300
2010,250956,MODOC MEDICAL CENTER,City/County,MODOC,Discharge Days,11127
2010,260011,MAMMOTH HOSPITAL,District,MONO,Discharge Days,1768
2010,270744,COMMUNITY HOSPITAL MONTEREY PENINSULA,Non-Profit,MONTEREY,Discharge Days,54082
2010,270777,GEORGE L MEE MEMORIAL HOSPITAL,Non-Profit,MONTEREY,Discharge Days,25023
2010,270875,SALINAS VALLEY MEMORIAL HOSPITAL,District,MONTEREY,Discharge Days,48158
2010,274043,NATIVIDAD MEDICAL CENTER,City/County,MONTEREY,Discharge Days,37786
2010,281047,QUEEN OF THE VALLEY HOSPITAL - NAPA,Non-Profit,NAPA,Discharge Days,41645
2010,281078,ST. HELENA HOSPITAL,Non-Profit,NAPA,Discharge Days,24288
2010,291023,SIERRA NEVADA MEMORIAL HOSPITAL,Non-Profit,NEVADA,Discharge Days,23559
2010,291053,TAHOE FOREST HOSPITAL,District,NEVADA,Discharge Days,6714
2010,300032,CHILDREN'S HOSPITAL OF ORANGE COUNTY,Non-Profit,ORANGE,Discharge Days,59779
2010,300225,ORANGE COAST MEMORIAL MEDICAL CENTER,Non-Profit,ORANGE,Discharge Days,48492
2010,301097,ANAHEIM GENERAL HOSPITAL,Investor,ORANGE,Discharge Days,5510
2010,301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Investor,ORANGE,Discharge Days,58362
2010,301127,KINDRED HOSPITAL BREA,Investor,ORANGE,Discharge Days,22557
2010,301132,KAISER FND HOSP - ANAHEIM,Non-Profit,ORANGE,Discharge Days,92551
2010,301140,CHAPMAN MEDICAL CENTER,Investor,ORANGE,Discharge Days,22698
2010,301155,COLLEGE HOSPITAL COSTA MESA,Investor,ORANGE,Discharge Days,36728
2010,301175,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID,Investor,ORANGE,Discharge Days,94680
2010,301188,WESTERN MEDICAL CENTER HOSPITAL - ANAHEIM,Investor,ORANGE,Discharge Days,48897
2010,301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Non-Profit,ORANGE,Discharge Days,134566
2010,301209,HUNTINGTON BEACH HOSPITAL,Investor,ORANGE,Discharge Days,14892
2010,301234,LA PALMA INTERCOMMUNITY HOSPITAL,Investor,ORANGE,Discharge Days,17542
2010,301248,LOS ALAMITOS MEDICAL CENTER,Investor,ORANGE,Discharge Days,46427
2010,301258,COASTAL COMMUNITIES HOSPITAL,Investor,ORANGE,Discharge Days,36571
2010,301262,MISSION HOSPITAL REGIONAL MEDICAL CENTER,Non-Profit,ORANGE,Discharge Days,82186
2010,301279,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,UC,ORANGE,Discharge Days,104210
2010,301283,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,Investor,ORANGE,Discharge Days,27918
2010,301297,PLACENTIA LINDA HOSPITAL,Investor,ORANGE,Discharge Days,13363
2010,301304,NEWPORT BAY HOSPITAL,Investor,ORANGE,Discharge Days,11066
2010,301317,SADDLEBACK MEMORIAL MEDICAL CENTER,Non-Profit,ORANGE,Discharge Days,75571
2010,301337,MISSION HOSPITAL LAGUNA BEACH,Non-Profit,ORANGE,Discharge Days,18651
2010,301340,ST. JOSEPH HOSPITAL - ORANGE,Non-Profit,ORANGE,Discharge Days,88882
2010,301342,ST. JUDE MEDICAL CENTER,Non-Profit,ORANGE,Discharge Days,89745
2010,301357,NEWPORT SPECIALTY HOSPITAL,Investor,ORANGE,Discharge Days,14601
2010,301379,WEST ANAHEIM MEDICAL CENTER,Investor,ORANGE,Discharge Days,34499
2010,301380,KINDRED HOSPITAL WESTMINSTER,Investor,ORANGE,Discharge Days,37116
2010,301566,WESTERN MEDICAL CENTER - SANTA ANA,Investor,ORANGE,Discharge Days,44036
2010,304079,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,Investor,ORANGE,Discharge Days,14800
2010,304113,CHILDREN'S HOSPITAL AT MISSION,Non-Profit,ORANGE,Discharge Days,8750
2010,304159,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,Investor,ORANGE,Discharge Days,12428
2010,304426,ROYALE' MISSION VIEJO,Investor,ORANGE,Discharge Days,2457
2010,304460,HOAG ORTHOPEDIC INSTITUTE,Investor,ORANGE,Discharge Days,763
2010,310791,SUTTER AUBURN FAITH HOSPITAL,Non-Profit,PLACER,Discharge Days,14789
2010,311000,SUTTER ROSEVILLE MEDICAL CENTER,Non-Profit,PLACER,Discharge Days,77684
2010,314029,TELECARE PLACER COUNTY PSYCHIATRIC HEALTH FACILITY,Investor,PLACER,Discharge Days,4281
2010,320859,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS,District,PLUMAS,Discharge Days,12369
2010,320986,PLUMAS DISTRICT HOSPITAL,District,PLUMAS,Discharge Days,1596
2010,321016,SENECA HEALTHCARE DISTRICT,District,PLUMAS,Discharge Days,1216
2010,330120,"BETTY FORD CENTER AT EISENHOWER, THE",Non-Profit,RIVERSIDE,Discharge Days,21873
2010,331152,CORONA REGIONAL MEDICAL CENTER-MAIN,Investor,RIVERSIDE,Discharge Days,47828
2010,331164,DESERT REGIONAL MEDICAL CENTER,Investor,RIVERSIDE,Discharge Days,87119
2010,331168,EISENHOWER MEDICAL CENTER,Non-Profit,RIVERSIDE,Discharge Days,79233
2010,331194,HEMET VALLEY MEDICAL CENTER,District,RIVERSIDE,Discharge Days,61994
2010,331216,JOHN F KENNEDY MEMORIAL HOSPITAL,Investor,RIVERSIDE,Discharge Days,33938
2010,331226,RIVERSIDE CENTER FOR BEHAVIORAL MEDICINE,Investor,RIVERSIDE,Discharge Days,6108
2010,331288,PALO VERDE HOSPITAL,District,RIVERSIDE,Discharge Days,5642
2010,331293,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,Non-Profit,RIVERSIDE,Discharge Days,40301
2010,331312,RIVERSIDE COMMUNITY HOSPITAL,Investor,RIVERSIDE,Discharge Days,104423
2010,331326,SAN GORGONIO MEMORIAL HOSPITAL,District,RIVERSIDE,Discharge Days,15017
2010,332172,KINDRED HOSPITAL RIVERSIDE,Investor,RIVERSIDE,Discharge Days,12326
2010,334018,MENIFEE VALLEY MEDICAL CENTER,District,RIVERSIDE,Discharge Days,17224
2010,334025,KAISER FND HOSP - RIVERSIDE,Non-Profit,RIVERSIDE,Discharge Days,60312
2010,334048,KAISER FND HOSPITAL - MORENO VALLEY,Non-Profit,RIVERSIDE,Discharge Days,21975
2010,334068,SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,Investor,RIVERSIDE,Discharge Days,70415
2010,334457,OASIS PSYCHIATRIC HEALTH FACILITY,Investor,RIVERSIDE,Discharge Days,3945
2010,334487,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,City/County,RIVERSIDE,Discharge Days,121872
2010,340913,KAISER FND HOSP - SACRAMENTO/ROSEVILLE-MORSE,Non-Profit,SACRAMENTO,Discharge Days,144548
2010,340947,MERCY GENERAL HOSPITAL,Non-Profit,SACRAMENTO,Discharge Days,94286
2010,340950,MERCY SAN JUAN HOSPITAL,Non-Profit,SACRAMENTO,Discharge Days,97807
2010,340951,METHODIST HOSPITAL OF SACRAMENTO,Non-Profit,SACRAMENTO,Discharge Days,81121
2010,341006,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,UC,SACRAMENTO,Discharge Days,166705
2010,341051,SUTTER GENERAL HOSPITAL,Non-Profit,SACRAMENTO,Discharge Days,85272
2010,341052,SUTTER MEMORIAL HOSPITAL,Non-Profit,SACRAMENTO,Discharge Days,90625
2010,342344,KAISER FND HOSP - SOUTH SACRAMENTO,Non-Profit,SACRAMENTO,Discharge Days,46303
2010,342392,SIERRA VISTA HOSPITAL,Investor,SACRAMENTO,Discharge Days,25310
2010,344011,SACRAMENTO COUNTY MENTAL HEALTH TREATMENT CENTER,City/County,SACRAMENTO,Discharge Days,17345
2010,344017,SUTTER CENTER FOR PSYCHIATRY,Non-Profit,SACRAMENTO,Discharge Days,17483
2010,344021,HERITAGE OAKS HOSPITAL,Investor,SACRAMENTO,Discharge Days,22577
2010,344029,MERCY HOSPITAL - FOLSOM,Non-Profit,SACRAMENTO,Discharge Days,18417
2010,344035,KINDRED HOSPITAL - SACRAMENTO,Investor,SACRAMENTO,Discharge Days,11518
2010,344114,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF.,Non-Profit,SACRAMENTO,Discharge Days,8405
2010,344170,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-CARMICHAEL,Investor,SACRAMENTO,Discharge Days,2927
2010,350784,HAZEL HAWKINS MEMORIAL HOSPITAL,District,SAN BENITO,Discharge Days,12704
2010,361105,BARSTOW COMMUNITY HOSPITAL,Investor,SAN BERNARDINO,Discharge Days,7353
2010,361110,BEAR VALLEY COMMUNITY HOSPITAL,District,SAN BERNARDINO,Discharge Days,929
2010,361144,CHINO VALLEY MEDICAL CENTER,Investor,SAN BERNARDINO,Discharge Days,16558
2010,361166,MONTCLAIR HOSPITAL MEDICAL CENTER,Investor,SAN BERNARDINO,Discharge Days,17603
2010,361223,KAISER FND HOSP - FONTANA,Non-Profit,SAN BERNARDINO,Discharge Days,111767
2010,361246,LOMA LINDA UNIVERSITY MEDICAL CENTER,Non-Profit,SAN BERNARDINO,Discharge Days,205039
2010,361266,MOUNTAINS COMMUNITY HOSPITAL,District,SAN BERNARDINO,Discharge Days,1615
2010,361274,KINDRED HOSPITAL ONTARIO,Investor,SAN BERNARDINO,Discharge Days,28999
2010,361308,REDLANDS COMMUNITY HOSPITAL,Non-Profit,SAN BERNARDINO,Discharge Days,55085
2010,361318,SAN ANTONIO COMMUNITY HOSPITAL,Non-Profit,SAN BERNARDINO,Discharge Days,63503
2010,361323,COMMUNITY HOSPITAL OF SAN BERNARDINO,Non-Profit,SAN BERNARDINO,Discharge Days,61535
2010,361339,ST. BERNARDINE MEDICAL CENTER,Non-Profit,SAN BERNARDINO,Discharge Days,78316
2010,361343,ST. MARY REGIONAL MEDICAL CENTER,Non-Profit,SAN BERNARDINO,Discharge Days,63176
2010,361370,VICTOR VALLEY COMMUNITY HOSPITAL,City/County,SAN BERNARDINO,Discharge Days,24314
2010,361458,COLORADO RIVER MEDICAL CENTER,City/County,SAN BERNARDINO,Discharge Days,1531
2010,362041,HI-DESERT MEDICAL CENTER,District,SAN BERNARDINO,Discharge Days,41791
2010,364014,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,Non-Profit,SAN BERNARDINO,Discharge Days,27388
2010,364050,CANYON RIDGE HOSPITAL,Investor,SAN BERNARDINO,Discharge Days,29007
2010,364121,BALLARD REHABILITATION HOSP,Investor,SAN BERNARDINO,Discharge Days,14195
2010,364144,DESERT VALLEY HOSPITAL,Investor,SAN BERNARDINO,Discharge Days,26000
2010,364188,KINDRED HOSPITAL RANCHO,Investor,SAN BERNARDINO,Discharge Days,19571
2010,364231,ARROWHEAD REGIONAL MEDICAL CENTER,City/County,SAN BERNARDINO,Discharge Days,111604
2010,370652,ALVARADO HOSPITAL,Investor,SAN DIEGO,Discharge Days,41714
2010,370673,RADY CHILDREN'S HOSPITAL - SAN DIEGO,Non-Profit,SAN DIEGO,Discharge Days,77792
2010,370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,Non-Profit,SAN DIEGO,Discharge Days,51079
2010,370694,SHARP MEMORIAL HOSPITAL,Non-Profit,SAN DIEGO,Discharge Days,167964
2010,370705,FALLBROOK HOSPITAL DISTRICT,Investor,SAN DIEGO,Discharge Days,22213
2010,370714,GROSSMONT HOSPITAL,Non-Profit,SAN DIEGO,Discharge Days,127110
2010,370721,KINDRED HOSPITAL - SAN DIEGO,Investor,SAN DIEGO,Discharge Days,16680
2010,370730,KAISER FND HOSP - SAN DIEGO,Non-Profit,SAN DIEGO,Discharge Days,114516
2010,370744,SCRIPPS MERCY HOSPITAL,Non-Profit,SAN DIEGO,Discharge Days,151252
2010,370745,SHARP MESA VISTA HOSPITAL,Non-Profit,SAN DIEGO,Discharge Days,39845
2010,370749,ALVARADO PARKWAY INSTITUTE B.H.S.,Investor,SAN DIEGO,Discharge Days,21715
2010,370755,PALOMAR MEDICAL CENTER,District,SAN DIEGO,Discharge Days,114413
2010,370759,PARADISE VALLEY HOSPITAL,Investor,SAN DIEGO,Discharge Days,48931
2010,370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,Non-Profit,SAN DIEGO,Discharge Days,79783
2010,370780,TRI-CITY MEDICAL CENTER,District,SAN DIEGO,Discharge Days,73549
2010,370782,UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER,UC,SAN DIEGO,Discharge Days,142467
2010,370787,PROMISE HOSPITAL OF SAN DIEGO,Investor,SAN DIEGO,Discharge Days,30445
2010,370875,SHARP CHULA VISTA MEDICAL CENTER,Non-Profit,SAN DIEGO,Discharge Days,102701
2010,370977,POMERADO HOSPITAL,District,SAN DIEGO,Discharge Days,58926
2010,371256,SCRIPPS GREEN HOSPITAL,Non-Profit,SAN DIEGO,Discharge Days,41816
2010,371394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,Non-Profit,SAN DIEGO,Discharge Days,44747
2010,374024,AURORA SAN DIEGO,Investor,SAN DIEGO,Discharge Days,24488
2010,374049,SHARP VISTA PACIFICA,Non-Profit,SAN DIEGO,Discharge Days,3118
2010,374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,City/County,SAN DIEGO,Discharge Days,73343
2010,374084,SAN DIEGO HOSPICE AND PALLIATIVE CARE-ACUTE CARE CTR,Non-Profit,SAN DIEGO,Discharge Days,7906
2010,374094,VIBRA HOSPITAL OF SAN DIEGO,Investor,SAN DIEGO,Discharge Days,24477
2010,380842,JEWISH HOME,Non-Profit,SAN FRANCISCO,Discharge Days,172209
2010,380857,KAISER FND HOSP - SAN FRANCISCO,Non-Profit,SAN FRANCISCO,Discharge Days,65119
2010,380865,LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,City/County,SAN FRANCISCO,Discharge Days,364098
2010,380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,UC,SAN FRANCISCO,Discharge Days,5733
2010,380929,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,Non-Profit,SAN FRANCISCO,Discharge Days,171522
2010,380939,SAN FRANCISCO GENERAL HOSPITAL,City/County,SAN FRANCISCO,Discharge Days,142970
2010,380960,ST. FRANCIS MEMORIAL HOSPITAL,Non-Profit,SAN FRANCISCO,Discharge Days,38540
2010,380964,CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS,Non-Profit,SAN FRANCISCO,Discharge Days,41356
2010,380965,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",Non-Profit,SAN FRANCISCO,Discharge Days,41662
2010,381154,UCSF MEDICAL CENTER,UC,SAN FRANCISCO,Discharge Days,187095
2010,382715,CHINESE HOSPITAL,Non-Profit,SAN FRANCISCO,Discharge Days,11104
2010,390846,DAMERON HOSPITAL,Non-Profit,SAN JOAQUIN,Discharge Days,50001
2010,390923,LODI MEMORIAL HOSPITAL,Non-Profit,SAN JOAQUIN,Discharge Days,52471
2010,391010,SAN JOAQUIN GENERAL HOSPITAL,City/County,SAN JOAQUIN,Discharge Days,41878
2010,391042,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,Non-Profit,SAN JOAQUIN,Discharge Days,88091
2010,391056,SUTTER TRACY COMMUNITY HOSPITAL,Non-Profit,SAN JOAQUIN,Discharge Days,17320
2010,392232,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,Non-Profit,SAN JOAQUIN,Discharge Days,9384
2010,392287,DOCTORS HOSPITAL OF MANTECA,Investor,SAN JOAQUIN,Discharge Days,16243
2010,394003,SAN JOAQUIN COUNTY P.H.F.,City/County,SAN JOAQUIN,Discharge Days,10901
2010,394009,KAISER FND HOSP-MANTECA,Non-Profit,SAN JOAQUIN,Discharge Days,48510
2010,400466,ARROYO GRANDE COMMUNITY HOSPITAL,Non-Profit,SAN LUIS OBISPO,Discharge Days,11857
2010,400480,FRENCH HOSPITAL MEDICAL CENTER,Non-Profit,SAN LUIS OBISPO,Discharge Days,17263
2010,400524,SIERRA VISTA REGIONAL MEDICAL CENTER,Investor,SAN LUIS OBISPO,Discharge Days,30735
2010,400548,TWIN CITIES COMMUNITY HOSPITAL,Investor,SAN LUIS OBISPO,Discharge Days,26205
2010,404046,SAN LUIS OBISPO CO PSYCHIATRIC HEALTH FACILITY,City/County,SAN LUIS OBISPO,Discharge Days,3643
2010,410782,SAN MATEO MEDICAL CENTER,City/County,SAN MATEO,Discharge Days,112957
2010,410804,KAISER FND HOSP - REDWOOD CITY,Non-Profit,SAN MATEO,Discharge Days,35598
2010,410806,KAISER FND HOSP - SOUTH SAN FRANCISCO,Non-Profit,SAN MATEO,Discharge Days,24316
2010,410817,SETON MEDICAL CENTER,Non-Profit,SAN MATEO,Discharge Days,65504
2010,410828,SETON MEDICAL CENTER - COASTSIDE,Non-Profit,SAN MATEO,Discharge Days,49064
2010,410852,MILLS-PENINSULA MEDICAL CENTER,Non-Profit,SAN MATEO,Discharge Days,75267
2010,410891,SEQUOIA HOSPITAL,Non-Profit,SAN MATEO,Discharge Days,34760
2010,414018,MENLO PARK SURGICAL HOSPITAL,Non-Profit,SAN MATEO,Discharge Days,517
2010,420483,GOLETA VALLEY COTTAGE HOSPITAL,Non-Profit,SANTA BARBARA,Discharge Days,7879
2010,420491,LOMPOC VALLEY MEDICAL CENTER,District,SANTA BARBARA,Discharge Days,13659
2010,420493,MARIAN MEDICAL CENTER,Non-Profit,SANTA BARBARA,Discharge Days,59512
2010,420514,SANTA BARBARA COTTAGE HOSPITAL,Non-Profit,SANTA BARBARA,Discharge Days,89466
2010,420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,Non-Profit,SANTA BARBARA,Discharge Days,1010
2010,424002,SANTA BARBARA PSYCHIATRIC HEALTH FACILITY,City/County,SANTA BARBARA,Discharge Days,5108
2010,430705,REGIONAL MEDICAL OF SAN JOSE,Investor,SANTA CLARA,Discharge Days,55659
2010,430763,EL CAMINO HOSPITAL,District,SANTA CLARA,Discharge Days,95693
2010,430779,GOOD SAMARITAN HOSPITAL-SAN JOSE,Investor,SANTA CLARA,Discharge Days,90079
2010,430837,O'CONNOR HOSPITAL - SAN JOSE,Non-Profit,SANTA CLARA,Discharge Days,62928
2010,430883,SANTA CLARA VALLEY MEDICAL CENTER,City/County,SANTA CLARA,Discharge Days,136563
2010,430905,STANFORD HOSPITAL,Non-Profit,SANTA CLARA,Discharge Days,136654
2010,431506,KAISER FND HOSP - SAN JOSE,Non-Profit,SANTA CLARA,Discharge Days,52148
2010,434040,LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,Non-Profit,SANTA CLARA,Discharge Days,89877
2010,434051,CHILDRENS RECOVERY CENTER OF NORTHERN CALIFORNIA,Investor,SANTA CLARA,Discharge Days,5162
2010,434138,ST. LOUISE REGIONAL HOSPITAL,Non-Profit,SANTA CLARA,Discharge Days,13893
2010,434153,KAISER FND HOSP - SANTA CLARA,Non-Profit,SANTA CLARA,Discharge Days,96358
2010,434218,KAISER PERMANENTE P.H.F - SANTA CLARA,Non-Profit,SANTA CLARA,Discharge Days,613
2010,440755,DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL,Non-Profit,SANTA CRUZ,Discharge Days,63822
2010,444012,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ,Non-Profit,SANTA CRUZ,Discharge Days,6499
2010,444013,WATSONVILLE COMMUNITY HOSPITAL,Investor,SANTA CRUZ,Discharge Days,23001
2010,450936,MAYERS MEMORIAL HOSPITAL,District,SHASTA,Discharge Days,2542
2010,450940,SHASTA REGIONAL MEDICAL CENTER,Investor,SHASTA,Discharge Days,31073
2010,450949,MERCY MEDICAL CENTER - REDDING,Non-Profit,SHASTA,Discharge Days,59101
2010,454012,NORTHERN CALIFORNIA REHABILITATION HOSPITAL,Investor,SHASTA,Discharge Days,28797
2010,454013,PATIENTS' HOSPITAL OF REDDING,Investor,SHASTA,Discharge Days,560
2010,470871,MERCY MEDICAL CENTER MT. SHASTA,Non-Profit,SISKIYOU,Discharge Days,19779
2010,474007,FAIRCHILD MEDICAL CENTER,Non-Profit,SISKIYOU,Discharge Days,5496
2010,480989,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,Non-Profit,SOLANO,Discharge Days,68634
2010,481015,ST. HELENA HOSPITAL CENTER FOR BEHAVIORAL HEALTH,Non-Profit,SOLANO,Discharge Days,20266
2010,481094,SUTTER SOLANO MEDICAL CENTER,Non-Profit,SOLANO,Discharge Days,21377
2010,481357,NORTH BAY MEDICAL CENTER,Non-Profit,SOLANO,Discharge Days,24637
2010,484001,NORTH BAY VACAVALLEY HOSPITAL,Non-Profit,SOLANO,Discharge Days,11913
2010,484028,NORTH VALLEY-SOLANO COUNTY PSYCHIATRIC HEALTH FACILITY,Investor,SOLANO,Discharge Days,4010
2010,484044,KAISER FOUNDATION HOSPITAL - VACAVILLE,Non-Profit,SOLANO,Discharge Days,14477
2010,490919,SUTTER MEDICAL CENTER OF SANTA ROSA,Non-Profit,SONOMA,Discharge Days,27739
2010,490964,HEALDSBURG DISTRICT HOSPITAL,District,SONOMA,Discharge Days,3988
2010,491001,PETALUMA VALLEY HOSPITAL,Non-Profit,SONOMA,Discharge Days,10237
2010,491064,SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY,Non-Profit,SONOMA,Discharge Days,60000
2010,491076,SONOMA VALLEY HOSPITAL,District,SONOMA,Discharge Days,13658
2010,491338,PALM DRIVE HOSPITAL,District,SONOMA,Discharge Days,4573
2010,494019,KAISER FND HOSP - SANTA ROSA,Non-Profit,SONOMA,Discharge Days,33071
2010,500852,DOCTORS MEDICAL CENTER,Investor,STANISLAUS,Discharge Days,110796
2010,500867,"EMANUEL MEDICAL CENTER, INC",Non-Profit,STANISLAUS,Discharge Days,100021
2010,500939,MEMORIAL HOSPITAL MEDICAL CENTER - MODESTO,Non-Profit,STANISLAUS,Discharge Days,103738
2010,500954,KINDRED HOSPITAL MODESTO,Investor,STANISLAUS,Discharge Days,318
2010,500967,OAK VALLEY DISTRICT HOSPITAL (2-RH),District,STANISLAUS,Discharge Days,35186
